"시료명","K1600 K16L5001CCR Platforming Process Unit Feed"
"수집 일시","2018-08-22 오전 5:53:10"

,"mass %",n-Paraffins,i-Paraffins,Olefins,Naphtenes,Aromatics,Oxygenates
  124,"1,2-methylethylbenzene",75.129,972.195,0.055,8140.22,0.065,"Aromatics",9
  125,"? 10",75.322,974.180,0.019,2833.12,0.023,"n-Paraffins",0
  126,"1,2,4-trimethylbenzene",76.389,985.044,0.113,16770.33,0.135,"Aromatics",9
  127,"I24",77.572,996.919,0.022,2540.68,0.022,"i-Paraffins",10
  128,"I38",78.642,1071.635,0.016,1836.09,0.016,"i-Paraffins",11

 합계,"",,,100.000,11787540.93,100.000,"",

    1,"Paraffins",,,59.740,6562149.62,56.515,"n-Paraffins",0
    2,"Diolefin",,,0.000,0.00,0.000,"n-Paraffins",0
    3,"C7 -Aro",,,4.520,662083.56,5.349,"n-Paraffins",0
    4,"C8 +Aro",,,6.511,960472.94,7.683,"n-Paraffins",0
    5,"C10 +Aro",,,0.000,0.00,0.000,"n-Paraffins",0
    6,"C8- NAro",,,70.639,8040710.39,68.773,"n-Paraffins",0
    7,"C9+ NAro",,,17.474,2023581.37,17.336,"n-Paraffins",0
    8,"T- NAro",,,88.113,10064291.76,86.109,"n-Paraffins",0
    9,"Total C4",,,0.000,0.00,0.000,"n-Paraffins",0
   10,"Xylenes",,,4.567,674395.19,5.391,"n-Paraffins",0
   11,"C7 Naphthene(5-Ring)",,,4.437,534832.14,4.519,"n-Paraffins",0
   12,"C8 Naphthene(5-Ring)",,,3.876,479286.09,4.050,"n-Paraffins",0
   13,"C9 Naphthene(5-Ring)",,,0.167,21050.46,0.178,"n-Paraffins",0
   14,"C8 Naphthene(6-Ring)",,,4.843,602635.51,5.092,"n-Paraffins",0
   15,"C9 Naphthene(6-Ring)",,,0.461,58403.12,0.494,"n-Paraffins",0
   16,"C10 Naphthene(6-Ring)",,,0.000,0.00,0.000,"n-Paraffins",0

,"T-Non-Aro",88.79996720114


